label,events_per_second_ratio,idle_ratio,brainrot_ratio,productive_ratio,keyboard_to_scroll_ratio,event_rate_variance,scroll_direction_changes
distracted,11.416666666666666,0.00072992700729927,0.9328467153284672,0.06715328467153285,0.0,1859.4444444444443,156
distracted,10.9,0.0022935779816513763,1.0,0.0,0.0,1576.0,177
distracted,11.066666666666666,0.002259036144578313,1.0,0.0,0.0,2173.277777777778,248
distracted,10.908333333333333,0.0015278838808250573,1.0,0.0,0.0,2036.5277777777776,264
distracted,10.5,0.002380952380952381,1.0,0.0,0.0,2588.5,181
distracted,9.991666666666667,0.004170141784820684,0.6488740617180984,0.34111759799833197,0.005163511176951721,1399.6944444444443,159
distracted,10.708333333333334,0.0023346303501945525,0.6723735408560312,0.31828793774319064,0.006810442668840615,2197.4444444444443,204
distracted,12.041666666666666,0.0,1.0,0.0,0.017103762799640893,2181.277777777778,184
distracted,11.875,0.0,1.0,0.0,0.03696498044226635,1968.7500000000002,103
distracted,11.991666666666667,0.0,0.9624739402362752,0.037526059763724806,0.010370370348262277,1972.1111111111113,172
distracted,11.808333333333334,0.0,0.9611856033874383,0.038108680310515175,0.0,1965.7777777777778,281
distracted,11.8,0.0,0.9992937853107344,0.0,0.0,2160.5,292
distracted,11.616666666666667,0.0,1.0,0.0,0.0,1827.8611111111113,269
distracted,11.508333333333333,0.0,1.0,0.0,0.0,1748.2777777777778,200
distracted,10.875,0.0015325670498084292,1.0,0.0,0.0,1973.0,154
distracted,10.916666666666666,0.0015267175572519084,1.0,0.0,0.0,1756.0277777777778,170
distracted,11.733333333333333,0.0,1.0,0.0,0.0,1844.777777777778,229
distracted,11.0,0.0007575757575757576,1.0,0.0,0.0,1785.75,195
distracted,10.683333333333334,0.0,0.6552262090483619,0.0,0.010218978083064628,456.2142857142857,185
distracted,10.25,0.0008130081300813008,0.17642276422764228,0.0,0.01192504256445008,2252.5,231
distracted,10.866666666666667,0.0007668711656441718,0.0,0.0,0.0,2893.611111111111,282
distracted,12.25,0.0,0.0,0.0,0.0,1947.75,286
distracted,10.866666666666667,0.0007668711656441718,0.0,0.0,0.0,3109.1111111111113,121
distracted,10.633333333333333,0.0007836990595611285,0.0,0.0,0.0,2350.944444444445,152
distracted,11.95,0.0,0.0,0.0,0.0,1818.5,304
distracted,12.225,0.0,0.0,0.0,0.0,1976.5,156
distracted,12.416666666666666,0.0,0.0,0.0,0.0,2062.527777777778,0
distracted,10.408333333333333,0.0008006405124099279,0.0,0.0,0.0,4036.4444444444443,0
distracted,10.408333333333333,0.0008006405124099279,0.0,0.0,0.0,4129.444444444444,0
distracted,12.333333333333334,0.0,0.0,0.0,0.0,2075.777777777778,0
distracted,12.091666666666667,0.0,0.0,0.0,0.0,2037.9444444444446,0
distracted,12.15,0.0,0.0,0.0,0.0,1856.75,0
distracted,12.383333333333333,0.0,0.0,0.0,0.0,2046.1111111111109,0
distracted,12.391666666666667,0.0,0.0,0.0,0.0,2012.9444444444446,0
distracted,12.433333333333334,0.0,0.0,0.0,0.0,2106.6944444444443,0
distracted,12.4,0.0,0.0,0.0,0.0,2110.0,0
distracted,12.191666666666666,0.0,0.0,0.0,0.0,1944.5277777777778,62
distracted,11.95,0.0,0.0,0.0,0.0,2052.0,98
distracted,11.925,0.0,0.0,0.0,0.0,1898.75,150
distracted,10.691666666666666,0.0,0.0,0.0,0.0,3370.2777777777774,156
distracted,10.8,0.0,0.0,0.0,0.0,2866.5,179
distracted,12.041666666666666,0.0,0.0,0.0,0.017886178819763367,2170.527777777778,184
distracted,11.675,0.0,0.0,0.0,0.042596348763331675,1721.0000000000002,141
distracted,11.783333333333333,0.0,0.0,0.0,0.012610340456707413,1951.1111111111113,196
distracted,12.125,0.0,0.0,0.0,0.0,1967.25,286
distracted,13.733333333333333,0.0006067961165048543,0.2196601941747573,0.0,0.007621951200364366,13164.611111111113,203
distracted,13.433333333333334,0.0006203473945409429,0.2847394540942928,0.011166253101736972,0.07831325225156047,13547.611111111111,55
distracted,11.925,0.0,0.06778476589797344,0.012578616352201259,0.03129445228338213,1887.25,208
distracted,11.75,0.0,0.0,0.0,0.03229813658939084,2142.5,222
distracted,11.233333333333333,0.0,0.0,0.0,0.0203045684816065,1963.6944444444446,179
distracted,11.091666666666667,0.0,0.019534184823441023,0.28399699474079637,0.07882534759672868,4425.611111111111,198
distracted,9.65,0.0017271157167530224,0.022452504317789293,0.7564766839378239,0.1643454033696045,3765.4999999999995,83
distracted,10.0,0.0008333333333333334,0.0425,0.9425,0.043396226316838725,2111.4285714285716,122
distracted,8.05,0.003105590062111801,0.052795031055900624,0.9285714285714286,0.11657559178030598,4560.75,143
